Unnamed: 0,sexo,tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
178,femenino,comercio,comidas rapidas,buenos aires,2,9.0,21/03/2017,5000000.0,microempresarial
179,femenino,comercio,variedades,castilla,3,5.0,12/07/2018,7800000.0,microempresarial
180,femenino,industria,fabrica de ,popular,1,1.0,18/11/2016,2000000.0,microempresarial
181,femenino,comercio,variedades,santo domingo savio ,1,1.0,12/06/2017,4000000.0,microempresarial
182,femenino,comercio,variedades,cabecera san cristobal,2,60.0,2016/04/18,6500000.0,microempresarial
183,femenino,agropecuaria,criadero de animales ,la floresta,2,12.0,14/06/2016,6890000.0,microempresarial
184,femenino,comercio,miscelanea,la sierra,2,8.0,26/07/2018,7800000.0,microempresarial
185,femenino,agropecuaria,sembrados,cabecera san cristobal,2,60.0,27/05/2016,12000000.0,fomento agropecuario
186,femenino,industria,fabrica de ,aranjuez,3,4.0,31/05/2018,7800000.0,microempresarial
187,masculino,comercio,variedades,santa cruz,1,16.0,18/05/2017,6000000.0,microempresarial
188,femenino,comercio,variedades,manrique central no. 1,2,4.0,13/09/2017,2000000.0,microempresarial
189,femenino,industria,fabrica de ,girardot,3,5.0,29/08/2016,6810000.0,microempresarial
190,masculino,industria,variedades,manrique central no. 1,2,4.0,15/03/2018,4000000.0,microempresarial
191,femenino,industria,fabrica de ,villatina,2,8.0,20/06/2017,3000000.0,microempresarial
193,femenino,comercio,comidas rapidas,buenos aires,2,9.0,15/06/2018,7000000.0,microempresarial
194,masculino,industria,fabrica de ,manrique central no. 2,2,3.0,9/08/2017,5000000.0,microempresarial
195,femenino,comercio,fabrica de helados,santa lucia,3,12.0,29/06/2017,4000000.0,microempresarial
196,femenino,comercio,variedades,13 de noviembre,1,8.0,19/12/2017,7300000.0,microempresarial
197,femenino,industria,fabrica de ,aranjuez,2,4.0,3/10/2018,2000000.0,microempresarial
198,masculino,comercio,charcuteria,villa niza,2,2.0,20/03/2018,7800000.0,microempresarial
199,masculino,industria,fabrica de ,santa monica,1,12.0,15/06/2018,7800000.0,microempresarial
200,masculino,comercio,comidas rapidas,andalucia,2,2.0,8/09/2016,6890000.0,microempresarial
201,masculino,industria,fabrica de ,20 de julio,1,13.0,24/10/2018,7800000.0,microempresarial
202,femenino,servicio,variedades,san javier no.1,2,13.0,24/05/2017,6500000.0,microempresarial
203,masculino,industria,distribuidora de ,robledo,3,7.0,2016/08/18,6890000.0,microempresarial
204,femenino,servicio,tienda de helados,cabecera san antonio ,3,80.0,2/11/2017,2500000.0,microempresarial
205,masculino,comercio,deposito de ,cabecera san antonio ,3,80.0,18/10/2016,6000000.0,microempresarial
206,femenino,industria,fabrica de ,manrique central no. 1,2,4.0,27/04/2018,3000000.0,microempresarial
208,femenino,comercio,almacen de ropa en ,san_javier_no.1,2,13.0,8/05/2017,7300000.0,microempresarial
209,femenino,comercio,comidas rapidas,castilla,2,5.0,2016/05/23,6890000.0,microempresarial
210,femenino,comercio,tienda,santo domingo savio ,1,1.0,28/05/2018,7000000.0,microempresarial
211,femenino,servicio,publicidad y ,granizal,2,1.0,22/06/2018,4000000.0,microempresarial
212,femenino,industria,fabrica de ,robledo,2,7.0,7/11/2017,7300000.0,microempresarial
213,femenino,industria,fabrica de ,cabecera san antonio ,2,80.0,13/06/2016,6000000.0,microempresarial
214,femenino,comercio,variedades,villatina,2,8.0,5/12/2017,7370000.0,microempresarial
215,femenino,comercio,tienda,aranjuez,1,4.0,16/05/2019,4000000.0,microempresarial
216,masculino,servicio,variedades,belen,3,16.0,2018/02/16,7800000.0,microempresarial
217,masculino,comercio,variedades,buenos aires,3,9.0,3/07/2018,4600000.0,microempresarial
218,masculino,comercio,restaurante,santa cruz,2,2.0,14/03/2017,4000000.0,microempresarial
219,masculino,industria,taller de mecanica,buenos aires,2,9.0,3/10/2018,6000000.0,microempresarial
220,masculino,servicio,lavadero de ,cabecera san cristobal,2,60.0,1/08/2018,3000000.0,microempresarial
221,masculino,comercio,variedades,la francia,2,2.0,13/03/2018,2000000.0,microempresarial
222,masculino,comercio,comidas_rapidas,santa cruz,2,2.0,12/07/2018,5000000.0,microempresarial
223,masculino,comercio,variedades,cabecera san cristobal,2,60.0,24/10/2018,7800000.0,microempresarial
224,femenino,servicio,publicidad y ,la milagrosa,3,9.0,10/07/2018,3000000.0,microempresarial
225,femenino,comercio,comidas rapidas,vrda. san cristobal ,3,60.0,1/02/2016,1100000.0,microempresarial
226,femenino,comercio,variedades,francisco antonio zea,2,5.0,9/02/2018,781000.0,microempresarial
227,masculino,comercio,carpinteria,cabecera san cristobal,2,60.0,1/08/2018,3000000.0,microempresarial
228,femenino,comercio,tienda,carlos e. restrepo,1,11.0,30/05/2019,8000000.0,microempresarial
229,masculino,servicio,taller de mecanica,santo domingo savio ,1,1.0,14/03/2017,7370000.0,microempresarial
230,femenino,comercio,tienda,la francia,2,2.0,8/04/2019,6000000.0,microempresarial
